0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:30:29 +0800] "GET /manager/resources/css/plugins/jsTree/32px.png HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:32:01 +0800] "POST /manager/system/menu/add.do HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:32:01 +0800] "GET /manager/system/menu/menuTree.do?id=%23 HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:32:07 +0800] "POST /manager/system/menu/loadMenu.do HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:32:11 +0800] "POST /manager/system/menu/edit.do HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:32:11 +0800] "GET /manager/system/menu/menuTree.do?id=%23 HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:32:14 +0800] "POST /manager/system/menu/loadMenu.do HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:32:18 +0800] "POST /manager/system/menu/loadMenu.do HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/system/menu/menu.do HTTP/1.1" 200 92099
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/css/plugins/sweetalert/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/css/plugins/jsTree/style.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/js/jquery-2.1.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/css/plugins/dataTables/datatables.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/js/plugins/metisMenu/jquery.metisMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/css/plugins/ladda/ladda-themeless.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/js/plugins/validate/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/js/plugins/sweetalert/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/js/plugins/dataTables/datatables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/js/plugins/ladda/spin.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/js/plugins/pace/pace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/js/inspinia.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/js/plugins/ladda/ladda.jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/js/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/js/plugins/jsTree/jstree.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/js/plugins/ladda/ladda.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/js/plugins/slimscroll/jquery.slimscroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:21 +0800] "GET /manager/resources/css/patterns/header-profile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:22 +0800] "POST /manager/system/user/notNeedAuth_loadUser.do HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:22 +0800] "POST /manager/system/notifications/notNeedAuth_countStatus.do HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:22 +0800] "GET /manager/system/menu/skin-config.html HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:22 +0800] "GET /manager/resources/css/plugins/jsTree/throbber.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:22 +0800] "GET /manager/system/menu/menuTree.do?id=%23 HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:22 +0800] "GET /manager/system/menu/menuTree.do?id=%23 HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:22 +0800] "GET /manager/resources/img/system/admin.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:33:22 +0800] "GET /manager/resources/css/plugins/jsTree/32px.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:12 +0800] "POST /manager/system/menu/add.do HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:12 +0800] "GET /manager/system/menu/menuTree.do?id=%23 HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/css/plugins/dataTables/datatables.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/css/plugins/jsTree/style.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/css/plugins/sweetalert/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/css/plugins/ladda/ladda-themeless.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/js/plugins/metisMenu/jquery.metisMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/js/jquery-2.1.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/js/plugins/validate/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/js/plugins/sweetalert/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/js/plugins/slimscroll/jquery.slimscroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/js/plugins/ladda/spin.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/js/plugins/ladda/ladda.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/js/plugins/ladda/ladda.jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/system/menu/menu.do HTTP/1.1" 200 92099
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/js/plugins/dataTables/datatables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/js/inspinia.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/js/plugins/pace/pace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/js/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:16 +0800] "GET /manager/resources/js/plugins/jsTree/jstree.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:17 +0800] "GET /manager/resources/css/patterns/header-profile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:17 +0800] "POST /manager/system/user/notNeedAuth_loadUser.do HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:17 +0800] "POST /manager/system/notifications/notNeedAuth_countStatus.do HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:17 +0800] "GET /manager/system/menu/skin-config.html HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:17 +0800] "GET /manager/resources/css/plugins/jsTree/throbber.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:17 +0800] "GET /manager/system/menu/menuTree.do?id=%23 HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:17 +0800] "GET /manager/system/menu/menuTree.do?id=%23 HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:17 +0800] "GET /manager/resources/img/system/admin.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:17 +0800] "GET /manager/resources/css/plugins/jsTree/32px.png HTTP/1.1" 304 -
