127.0.0.1 - - [06/Jun/2018:11:08:02 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:20 +0800] "GET /ssi/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:21 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:22 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 200 58597
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:22 +0800] "GET /ssi/js/jquery-easyui-1.4.5/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:22 +0800] "GET /ssi/js/jquery-easyui-1.4.5/jquery.easyui.min.js HTTP/1.1" 200 389242
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:22 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 200 2756
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:22 +0800] "GET /ssi/js/jquery.cookie.js HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:22 +0800] "GET /ssi/css/common.css HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:22 +0800] "GET /ssi/js/jquery-easyui-1.4.5/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2487
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:22 +0800] "GET /ssi/js/util.js HTTP/1.1" 200 3993
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:24 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/reload.png HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:24 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/man.png HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:24 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/lock.png HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:24 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:26 +0800] "GET /ssi/img/imgCode.do?random=0.24288219641524933 HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:26 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:27 +0800] "POST /ssi/img/loadImgCode.do HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:37 +0800] "POST /ssi/page/login.do HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:38 +0800] "GET /ssi/page/logout.do HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:40 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:40 +0800] "GET /ssi/img/imgCode.do?random=0.7160222963325554 HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:41 +0800] "POST /ssi/img/loadImgCode.do HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:53 +0800] "POST /ssi/page/login.do HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:53 +0800] "GET /ssi/page/logout.do HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:55 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:56 +0800] "GET /ssi/img/imgCode.do?random=0.5974394602461932 HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:08:57 +0800] "POST /ssi/img/loadImgCode.do HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:04 +0800] "POST /ssi/page/login.do HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:04 +0800] "GET /ssi/page/index.do HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:04 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:04 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:04 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/panel_tools.png HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:04 +0800] "GET /ssi/layout/center.do?_=1528254544332 HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:04 +0800] "GET /ssi/layout/south.do?_=1528254544333 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:04 +0800] "GET /ssi/layout/north.do?_=1528254544330 HTTP/1.1" 200 2900
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:04 +0800] "GET /ssi/layout/west.do?_=1528254544331 HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:04 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:04 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:04 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/menu_arrows.png HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:04 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/bullet_blue.png HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:04 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/theme.png HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:04 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/setting.png HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:04 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/undo.png HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:04 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/redo.png HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:04 +0800] "POST /ssi/admin/menu/notNeedAuth_menuTree.do HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:04 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:07 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/mini_refresh.png HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:07 +0800] "GET /ssi/score/score/scoreHistory.do HTTP/1.1" 200 5034
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:08 +0800] "GET /ssi/js/browser.js HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:08 +0800] "GET /ssi/js/jquery.jqprint-0.3.js HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:08 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/combo_arrow.png HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:08 +0800] "POST /ssi/education/clazz/notNeedAuth_combobox.do HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:08 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/filesave.png HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:08 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/print.png HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:08 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/pagination_icons.png HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:09 +0800] "POST /ssi/settings/test/notNeedAuth_combobox.do HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:09 +0800] "POST /ssi/education/student/notNeedAuth_combobox.do HTTP/1.1" 200 4573
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:09 +0800] "POST /ssi/score/score/history_datagrid.do HTTP/1.1" 200 8667
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:22 +0800] "GET /ssi/score/score/scoreTrend.do HTTP/1.1" 200 3579
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:23 +0800] "GET /ssi/js/charts/fusioncharts.js HTTP/1.1" 200 571903
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:23 +0800] "GET /ssi/js/charts/fusioncharts.charts.js HTTP/1.1" 200 105858
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:23 +0800] "POST /ssi/education/clazz/notNeedAuth_combobox.do HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:23 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/datebox_arrow.png HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:27 +0800] "GET /ssi/score/score/chartTrendData.do?clazzid=00A&startDate=&endDate= HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:42 +0800] "GET /ssi/education/student/student.do HTTP/1.1" 200 10367
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:42 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/pencil.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:42 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/edit_remove.png HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:42 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:42 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/datagrid_icons.png HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [06/Jun/2018:11:09:42 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/filter.png HTTP/1.1" 200 305
