127.0.0.1 - - [26/Apr/2018:11:02:47 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:03 +0800] "GET /ssi/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:04 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:05 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 200 58597
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:05 +0800] "GET /ssi/css/common.css HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:05 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:07 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/man.png HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:07 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/reload.png HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:07 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/lock.png HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:09 +0800] "GET /ssi/img/imgCode.do?random=0.7065329266905909 HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:10 +0800] "GET /favicon.ico HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:12 +0800] "POST /ssi/img/loadImgCode.do HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:19 +0800] "POST /ssi/page/login.do HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:19 +0800] "GET /ssi/page/index.do HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/panel_tools.png HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:20 +0800] "GET /ssi/layout/center.do?_=1524711800066 HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:20 +0800] "GET /ssi/layout/south.do?_=1524711800067 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:20 +0800] "GET /ssi/layout/west.do?_=1524711800065 HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:20 +0800] "GET /ssi/layout/north.do?_=1524711800064 HTTP/1.1" 200 2900
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/redo.png HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/undo.png HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/menu_arrows.png HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/bullet_blue.png HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/theme.png HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:20 +0800] "POST /ssi/admin/menu/notNeedAuth_menuTree.do HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/setting.png HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/tree_icons.png HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:23 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/mini_refresh.png HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:23 +0800] "GET /ssi/settings/test/test.do HTTP/1.1" 200 9768
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:24 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/combo_arrow.png HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:24 +0800] "POST /ssi/education/clazz/notNeedAuth_combobox.do HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:24 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/datebox_arrow.png HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:24 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/filesave.png HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:24 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/datagrid_icons.png HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:24 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/edit_remove.png HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:24 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/print.png HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:24 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/no.png HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:24 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:24 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/ok.png HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:24 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/pagination_icons.png HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:03:24 +0800] "POST /ssi/settings/test/datagrid.do HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:04:01 +0800] "GET /ssi/settings/test/test.do HTTP/1.1" 200 9768
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:04:01 +0800] "POST /ssi/education/clazz/notNeedAuth_combobox.do HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [26/Apr/2018:11:04:01 +0800] "POST /ssi/settings/test/datagrid.do HTTP/1.1" 200 3144
192.168.1.105 - - [26/Apr/2018:11:04:21 +0800] "GET /ssi/layout/west.do?_=1524711870120 HTTP/1.1" 200 225
192.168.1.105 - - [26/Apr/2018:11:04:21 +0800] "GET /ssi/layout/north.do?_=1524711870119 HTTP/1.1" 200 225
192.168.1.105 - - [26/Apr/2018:11:04:21 +0800] "GET /ssi/layout/south.do?_=1524711870122 HTTP/1.1" 200 225
192.168.1.105 - - [26/Apr/2018:11:04:21 +0800] "GET /ssi/layout/center.do?_=1524711870121 HTTP/1.1" 200 225
192.168.1.105 - - [26/Apr/2018:11:04:23 +0800] "GET /ssi/page/logout.do HTTP/1.1" 200 724
192.168.1.105 - - [26/Apr/2018:11:04:25 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3472
192.168.1.105 - - [26/Apr/2018:11:04:25 +0800] "GET /ssi/img/imgCode.do?random=0.6073818345760102 HTTP/1.1" 200 1615
192.168.1.105 - - [26/Apr/2018:11:04:26 +0800] "POST /ssi/img/loadImgCode.do HTTP/1.1" 200 4
