127.0.0.1 - - [29/Mar/2018:10:29:37 +0800] "GET / HTTP/1.1" 200 11452
192.168.1.80 - - [29/Mar/2018:10:52:13 +0800] "GET /ssi HTTP/1.1" 302 -
192.168.1.80 - - [29/Mar/2018:10:52:13 +0800] "GET /ssi/ HTTP/1.1" 302 -
192.168.1.80 - - [29/Mar/2018:10:52:13 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3472
192.168.1.80 - - [29/Mar/2018:10:52:13 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 200 58597
192.168.1.80 - - [29/Mar/2018:10:52:13 +0800] "GET /ssi/css/common.css HTTP/1.1" 200 369
192.168.1.80 - - [29/Mar/2018:10:52:13 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 200 2756
192.168.1.80 - - [29/Mar/2018:10:52:14 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/reload.png HTTP/1.1" 200 1045
192.168.1.80 - - [29/Mar/2018:10:52:14 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/man.png HTTP/1.1" 200 244
192.168.1.80 - - [29/Mar/2018:10:52:14 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/lock.png HTTP/1.1" 200 311
192.168.1.80 - - [29/Mar/2018:10:52:14 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/blank.gif HTTP/1.1" 200 43
192.168.1.80 - - [29/Mar/2018:10:52:15 +0800] "GET /ssi/img/imgCode.do?random=0.9273890003159456 HTTP/1.1" 200 1600
192.168.1.80 - - [29/Mar/2018:10:52:15 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.1.80 - - [29/Mar/2018:10:52:16 +0800] "POST /ssi/img/loadImgCode.do HTTP/1.1" 200 4
192.168.1.80 - - [29/Mar/2018:10:52:22 +0800] "POST /ssi/page/login.do HTTP/1.1" 200 47
192.168.1.80 - - [29/Mar/2018:10:52:22 +0800] "GET /ssi/page/index.do HTTP/1.1" 200 1814
192.168.1.80 - - [29/Mar/2018:10:52:22 +0800] "GET /ssi/layout/west.do?_=1522291943721 HTTP/1.1" 200 1347
192.168.1.80 - - [29/Mar/2018:10:52:22 +0800] "GET /ssi/layout/center.do?_=1522291943722 HTTP/1.1" 200 2721
192.168.1.80 - - [29/Mar/2018:10:52:22 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
192.168.1.80 - - [29/Mar/2018:10:52:22 +0800] "GET /ssi/layout/south.do?_=1522291943723 HTTP/1.1" 200 117
192.168.1.80 - - [29/Mar/2018:10:52:22 +0800] "GET /ssi/layout/north.do?_=1522291943720 HTTP/1.1" 200 2906
192.168.1.80 - - [29/Mar/2018:10:52:22 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/panel_tools.png HTTP/1.1" 200 852
192.168.1.80 - - [29/Mar/2018:10:52:22 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/redo.png HTTP/1.1" 200 708
192.168.1.80 - - [29/Mar/2018:10:52:22 +0800] "POST /ssi/admin/menu/notNeedAuth_menuTree.do HTTP/1.1" 200 3270
192.168.1.80 - - [29/Mar/2018:10:52:22 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/bullet_blue.png HTTP/1.1" 200 289
192.168.1.80 - - [29/Mar/2018:10:52:22 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/menu_arrows.png HTTP/1.1" 200 160
192.168.1.80 - - [29/Mar/2018:10:52:23 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/man.png HTTP/1.1" 200 244
192.168.1.80 - - [29/Mar/2018:10:52:23 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/setting.png HTTP/1.1" 200 584
192.168.1.80 - - [29/Mar/2018:10:52:23 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
