127.0.0.1 - - [22/Mar/2018:09:15:48 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [22/Mar/2018:09:16:04 +0800] "GET /ssi/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2018:09:16:05 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [22/Mar/2018:09:16:06 +0800] "GET /ssi/css/common.css HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [22/Mar/2018:09:16:06 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 200 58597
0:0:0:0:0:0:0:1 - - [22/Mar/2018:09:16:06 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 200 2756
0:0:0:0:0:0:0:1 - - [22/Mar/2018:09:16:07 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/reload.png HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [22/Mar/2018:09:16:07 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/man.png HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [22/Mar/2018:09:16:07 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/lock.png HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [22/Mar/2018:09:16:07 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [22/Mar/2018:09:16:09 +0800] "GET /ssi/img/imgCode.do?random=0.5156533036824864 HTTP/1.1" 200 1654
0:0:0:0:0:0:0:1 - - [22/Mar/2018:09:16:09 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [22/Mar/2018:09:16:10 +0800] "POST /ssi/img/loadImgCode.do HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [22/Mar/2018:09:16:21 +0800] "POST /ssi/page/login.do HTTP/1.1" 200 47
