127.0.0.1 - - [03/Apr/2019:09:04:34 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:38 +0800] "GET /icssa/ HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:38 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:39 +0800] "GET /icssa/employee/login.do HTTP/1.1" 200 3149
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:39 +0800] "GET /icssa/static/assets/css/style.css HTTP/1.1" 200 4624
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:39 +0800] "GET /icssa/static/assets/js/scripts.js HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:39 +0800] "GET /icssa/static/assets/css/supersized.css HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:39 +0800] "GET /icssa/static/assets/css/reset.css HTTP/1.1" 200 3890
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:39 +0800] "GET /icssa/static/assets/js/html5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:39 +0800] "GET /icssa/static/assets/js/jquery-1.8.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:39 +0800] "GET /icssa/static/assets/img/facebook.png HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:39 +0800] "GET /icssa/static/assets/img/twitter.png HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:39 +0800] "GET /icssa/static/assets/js/supersized.3.2.7.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:39 +0800] "GET /icssa/static/assets/js/supersized-init.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:39 +0800] "GET /icssa/static/video/bg.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:39 +0800] "GET /icssa/img/backgrounds/3.jpg HTTP/1.1" 200 52931
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:39 +0800] "GET /icssa/img/backgrounds/1.jpg HTTP/1.1" 200 72128
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:39 +0800] "GET /icssa/img/backgrounds/2.jpg HTTP/1.1" 200 68833
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:39 +0800] "GET /icssa/static/assets/img/progress.gif HTTP/1.1" 200 2608
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:50 +0800] "POST /icssa/employee/login.do HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:51 +0800] "GET /icssa/page/home.do HTTP/1.1" 200 5278
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:52 +0800] "GET /icssa/static/vendor/font-awesome/css/fontawesome-all.min.css HTTP/1.1" 200 33813
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:52 +0800] "GET /icssa/static/css/styles.css HTTP/1.1" 200 215515
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:52 +0800] "GET /icssa/static/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 200 12958
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:52 +0800] "GET /icssa/static/vendor/jquery/messages_zh.js HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:52 +0800] "GET /icssa/static/js/carbon.js HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:52 +0800] "GET /icssa/static/imgs/logo.png HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:52 +0800] "GET /icssa/static/vendor/font-awesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 36854
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:52 +0800] "GET /icssa/static/vendor/font-awesome/webfonts/fa-solid-900.woff HTTP/1.1" 200 46284
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:52 +0800] "GET /icssa/static/vendor/jquery/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:57 +0800] "GET /icssa/static/vendor/jquery/messages_zh.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:57 +0800] "GET /icssa/employeeRole/employeeRole.do HTTP/1.1" 200 17738
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:57 +0800] "GET /icssa/static/dataTables/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:57 +0800] "GET /icssa/static/dataTables/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 4814
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:57 +0800] "GET /icssa/static/sweetalert/sweetalert.css HTTP/1.1" 200 18130
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:57 +0800] "GET /icssa/static/imgs/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:58 +0800] "GET /icssa/static/dataTables/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:58 +0800] "GET /icssa/static/dataTables/js/dataTables.bootstrap4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:04:58 +0800] "GET /icssa/static/sweetalert/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:07:45 +0800] "GET /icssa/employeeRole/employeeRole.do HTTP/1.1" 200 17738
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:07:45 +0800] "GET /icssa/static/dataTables/css/dataTables.bootstrap4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:07:45 +0800] "GET /icssa/static/dataTables/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:07:45 +0800] "GET /icssa/static/sweetalert/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:07:45 +0800] "GET /icssa/static/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:07:45 +0800] "GET /icssa/static/vendor/font-awesome/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:07:45 +0800] "GET /icssa/static/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:09:07:45 +0800] "GET /icssa/static/vendor/jquery/jquery.validate.min.js HTTP/1.1" 304 -
