127.0.0.1 - - [18/Mar/2019:10:00:07 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:08 +0800] "GET /ssm/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:08 +0800] "GET /ssm/page/login.do HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:09 +0800] "GET /ssm/resources/css/animate.css HTTP/1.1" 200 69082
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:09 +0800] "GET /ssm/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:09 +0800] "GET /ssm/resources/js/jquery-2.1.1.js HTTP/1.1" 200 84244
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:09 +0800] "GET /ssm/resources/css/style.css HTTP/1.1" 200 176094
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:09 +0800] "GET /ssm/resources/font-awesome/css/font-awesome.css HTTP/1.1" 200 28747
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:09 +0800] "GET /ssm/resources//js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:09 +0800] "GET /ssm/resources/js/plugins/validate/jquery.validate.min.js HTTP/1.1" 200 21525
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:09 +0800] "GET /ssm/resources/css/plugins/ladda/ladda-themeless.min.css HTTP/1.1" 200 7710
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:09 +0800] "GET /ssm/resources/js/plugins/ladda/ladda.jquery.min.js HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:09 +0800] "GET /ssm/resources/js/plugins/ladda/spin.min.js HTTP/1.1" 200 4123
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:09 +0800] "GET /ssm/resources/js/plugins/ladda/ladda.min.js HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:10 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:17 +0800] "POST /ssm/page/login.do HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:17 +0800] "GET /ssm/page/index.do HTTP/1.1" 200 7323
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:17 +0800] "GET /ssm/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:17 +0800] "GET /ssm/resources/css/plugins/sweetalert/sweetalert.css HTTP/1.1" 200 18130
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:17 +0800] "GET /ssm/resources/js/plugins/metisMenu/jquery.metisMenu.js HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:17 +0800] "GET /ssm/resources/js/inspinia.js HTTP/1.1" 200 8487
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:17 +0800] "GET /ssm/resources/js/plugins/slimscroll/jquery.slimscroll.min.js HTTP/1.1" 200 4682
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:17 +0800] "GET /ssm/resources/js/plugins/sweetalert/sweetalert.min.js HTTP/1.1" 200 16141
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:17 +0800] "GET /ssm/resources/js/plugins/pace/pace.min.js HTTP/1.1" 200 12507
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:17 +0800] "GET /ssm/resources/font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 56780
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:17 +0800] "POST /ssm/system/user/notNeedAuth_loadUser.do HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:17 +0800] "POST /ssm/system/notifications/notNeedAuth_countStatus.do HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:17 +0800] "GET /ssm/resources/css/patterns/header-profile.png HTTP/1.1" 200 5877
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:18 +0800] "GET /ssm/page/skin-config.html HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:18 +0800] "GET /ssm/resources/img/system/admin.jpg HTTP/1.1" 200 5916
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:23 +0800] "GET /ssm/system/user/user.do HTTP/1.1" 200 20357
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:23 +0800] "GET /ssm/resources/js/plugins/dataTables/datatables.min.js HTTP/1.1" 200 1189517
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:23 +0800] "GET /ssm/resources/css/plugins/awesome-bootstrap-checkbox/awesome-bootstrap-checkbox.css HTTP/1.1" 200 6736
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:23 +0800] "GET /ssm/resources/js/tools.js HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:23 +0800] "GET /ssm/resources/css/plugins/dataTables/datatables.min.css HTTP/1.1" 200 10311
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:23 +0800] "POST /ssm/system/user/notNeedAuth_loadUser.do HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:23 +0800] "POST /ssm/system/notifications/notNeedAuth_countStatus.do HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:23 +0800] "GET /ssm/system/user/skin-config.html HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:24 +0800] "GET /ssm/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:24 +0800] "POST /ssm/system/user/datatable.do HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:26 +0800] "POST /ssm/system/user/datatable.do HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:27 +0800] "POST /ssm/system/user/datatable.do HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:29 +0800] "GET /ssm/system/role/role.do HTTP/1.1" 200 17980
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:29 +0800] "GET /ssm/resources/js/plugins/jsTree/jstree.min.js HTTP/1.1" 200 118089
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:29 +0800] "GET /ssm/resources/css/plugins/jsTree/style.min.css HTTP/1.1" 200 25605
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:29 +0800] "POST /ssm/system/user/notNeedAuth_loadUser.do HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:29 +0800] "POST /ssm/system/notifications/notNeedAuth_countStatus.do HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:29 +0800] "GET /ssm/system/role/skin-config.html HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:29 +0800] "POST /ssm/system/role/datatable.do HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:31 +0800] "GET /ssm/system/auth/auth.do HTTP/1.1" 200 17869
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:31 +0800] "GET /ssm/resources/js/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 228478
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:31 +0800] "POST /ssm/system/user/notNeedAuth_loadUser.do HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:31 +0800] "POST /ssm/system/notifications/notNeedAuth_countStatus.do HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:31 +0800] "GET /ssm/system/auth/skin-config.html HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:31 +0800] "GET /ssm/system/auth/authTree.do?id=%23 HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:31 +0800] "GET /ssm/system/auth/authTree.do?id=%23 HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:31 +0800] "GET /ssm/resources/css/plugins/jsTree/throbber.gif HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:31 +0800] "GET /ssm/resources/css/plugins/jsTree/32px.png HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:33 +0800] "GET /ssm/system/menu/menu.do HTTP/1.1" 200 91923
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:33 +0800] "POST /ssm/system/user/notNeedAuth_loadUser.do HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:33 +0800] "POST /ssm/system/notifications/notNeedAuth_countStatus.do HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:33 +0800] "GET /ssm/system/menu/skin-config.html HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:33 +0800] "GET /ssm/system/menu/menuTree.do?id=%23 HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:33 +0800] "GET /ssm/system/menu/menuTree.do?id=%23 HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:35 +0800] "GET /ssm/system/userLog/userLog.do HTTP/1.1" 200 10935
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:35 +0800] "POST /ssm/system/user/notNeedAuth_loadUser.do HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:35 +0800] "POST /ssm/system/notifications/notNeedAuth_countStatus.do HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:35 +0800] "GET /ssm/system/userLog/skin-config.html HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:35 +0800] "POST /ssm/system/userLog/datatable.do HTTP/1.1" 200 5310
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:37 +0800] "GET /ssm/system/online/online.do HTTP/1.1" 200 10893
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:37 +0800] "POST /ssm/system/user/notNeedAuth_loadUser.do HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:37 +0800] "POST /ssm/system/notifications/notNeedAuth_countStatus.do HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:37 +0800] "GET /ssm/system/online/skin-config.html HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:37 +0800] "POST /ssm/system/online/datatable.do HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:42 +0800] "GET /ssm/system/druid/druid.do HTTP/1.1" 200 7934
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:43 +0800] "GET /ssm/druid/index.html HTTP/1.1" 200 3379
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:43 +0800] "POST /ssm/system/user/notNeedAuth_loadUser.do HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:43 +0800] "POST /ssm/system/notifications/notNeedAuth_countStatus.do HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:43 +0800] "GET /ssm/system/druid/skin-config.html HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:43 +0800] "GET /ssm/druid/css/style.css HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:43 +0800] "GET /ssm/druid/css/bootstrap.min.css HTTP/1.1" 200 95686
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:43 +0800] "GET /ssm/druid/js/common.js HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:43 +0800] "GET /ssm/druid/js/lang.js HTTP/1.1" 200 19385
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:43 +0800] "GET /ssm/druid/js/jquery.min.js HTTP/1.1" 200 92931
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:43 +0800] "GET /ssm/druid/header.html HTTP/1.1" 200 1576
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:43 +0800] "POST /ssm/druid/basic.json HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:46 +0800] "GET /ssm/system/user/user.do HTTP/1.1" 200 20357
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:46 +0800] "POST /ssm/system/user/notNeedAuth_loadUser.do HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:46 +0800] "POST /ssm/system/notifications/notNeedAuth_countStatus.do HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:46 +0800] "GET /ssm/system/user/skin-config.html HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:46 +0800] "POST /ssm/system/user/datatable.do HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [18/Mar/2019:10:00:49 +0800] "GET /ssm/system/notifications/notNeedAuth_notifications.do HTTP/1.1" 200 13733
