0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:50 +0800] "POST /ssi/admin/user/datagrid.do HTTP/1.1" 200 3213
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:52 +0800] "GET /ssi/education/student/student.do HTTP/1.1" 200 10367
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:53 +0800] "POST /ssi/education/student/datagrid.do HTTP/1.1" 200 10236
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:54 +0800] "GET /ssi/education/student/studentAdd.do?_=1528954886408 HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:54 +0800] "POST /ssi/education/clazz/notNeedAuth_combobox.do HTTP/1.1" 200 662
192.168.1.42 - - [14/Jun/2018:13:41:59 +0800] "POST /ssi/page/login.do HTTP/1.1" 200 47
192.168.1.42 - - [14/Jun/2018:13:41:59 +0800] "GET /ssi/page/index.do HTTP/1.1" 200 1814
192.168.1.42 - - [14/Jun/2018:13:42:00 +0800] "GET /ssi/layout/north.do?_=1528954934260 HTTP/1.1" 200 2906
192.168.1.42 - - [14/Jun/2018:13:42:00 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/loading.gif HTTP/1.1" 200 1737
192.168.1.42 - - [14/Jun/2018:13:42:00 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
192.168.1.42 - - [14/Jun/2018:13:42:00 +0800] "GET /ssi/layout/center.do?_=1528954934262 HTTP/1.1" 200 2721
192.168.1.42 - - [14/Jun/2018:13:42:00 +0800] "GET /ssi/layout/west.do?_=1528954934261 HTTP/1.1" 200 1347
192.168.1.42 - - [14/Jun/2018:13:42:00 +0800] "GET /ssi/layout/south.do?_=1528954934263 HTTP/1.1" 200 117
192.168.1.42 - - [14/Jun/2018:13:42:00 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/panel_tools.png HTTP/1.1" 200 852
192.168.1.42 - - [14/Jun/2018:13:42:00 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/bullet_blue.png HTTP/1.1" 200 289
192.168.1.42 - - [14/Jun/2018:13:42:00 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/menu_arrows.png HTTP/1.1" 200 160
192.168.1.42 - - [14/Jun/2018:13:42:00 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/theme.png HTTP/1.1" 200 756
192.168.1.42 - - [14/Jun/2018:13:42:00 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/setting.png HTTP/1.1" 200 584
192.168.1.42 - - [14/Jun/2018:13:42:00 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
192.168.1.42 - - [14/Jun/2018:13:42:00 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
192.168.1.42 - - [14/Jun/2018:13:42:00 +0800] "POST /ssi/admin/menu/notNeedAuth_menuTree.do HTTP/1.1" 200 552
192.168.1.42 - - [14/Jun/2018:13:42:00 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/redo.png HTTP/1.1" 200 708
192.168.1.42 - - [14/Jun/2018:13:42:00 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/undo.png HTTP/1.1" 200 707
192.168.1.42 - - [14/Jun/2018:13:42:00 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
192.168.1.42 - - [14/Jun/2018:13:42:02 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/mini_refresh.png HTTP/1.1" 200 160
192.168.1.42 - - [14/Jun/2018:13:42:02 +0800] "GET /ssi/education/student/notNeedAuth_studentInfo.do HTTP/1.1" 200 3681
192.168.1.42 - - [14/Jun/2018:13:42:02 +0800] "GET /ssi/education/student/notNeedAuth_queryStudentInfo.do HTTP/1.1" 200 583
192.168.1.42 - - [14/Jun/2018:13:42:02 +0800] "GET /ssi/null?rand=0.9819989231351949 HTTP/1.1" 404 1010
192.168.1.42 - - [14/Jun/2018:13:42:03 +0800] "GET /ssi/score/score/notNeedAuth_score.do HTTP/1.1" 200 4868
192.168.1.42 - - [14/Jun/2018:13:42:04 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/filesave.png HTTP/1.1" 200 898
192.168.1.42 - - [14/Jun/2018:13:42:04 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/pagination_icons.png HTTP/1.1" 200 628
192.168.1.42 - - [14/Jun/2018:13:42:04 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/search.png HTTP/1.1" 200 813
192.168.1.42 - - [14/Jun/2018:13:42:04 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/pencil.png HTTP/1.1" 200 713
192.168.1.42 - - [14/Jun/2018:13:42:04 +0800] "POST /ssi/score/score/notNeedAuth_datagrid.do HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:42:05 +0800] "POST /ssi/education/student/add.do HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:42:05 +0800] "POST /ssi/education/student/datagrid.do HTTP/1.1" 200 10188
192.168.1.42 - - [14/Jun/2018:13:42:09 +0800] "GET /ssi/score/scorePapers/notNeedAuth_scorePapers.do?querytestid=40825c10-dee8-4ba5-8b71-0e783d0495dc HTTP/1.1" 200 4459
192.168.1.42 - - [14/Jun/2018:13:42:10 +0800] "GET /ssi/score/scorePapers/notNeedAuth_data.do HTTP/1.1" 200 24183
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:42:10 +0800] "GET /ssi/settings/settings/settingsAdd.do?_=1528954886409 HTTP/1.1" 200 947
192.168.1.42 - - [14/Jun/2018:13:42:10 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/cancel.png HTTP/1.1" 200 1133
192.168.1.42 - - [14/Jun/2018:13:42:10 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/ok.png HTTP/1.1" 200 883
192.168.1.144 - - [14/Jun/2018:13:42:14 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3472
192.168.1.144 - - [14/Jun/2018:13:42:15 +0800] "GET /ssi/img/imgCode.do?random=0.3503645085810023 HTTP/1.1" 200 1581
192.168.1.144 - - [14/Jun/2018:13:42:16 +0800] "POST /ssi/img/loadImgCode.do HTTP/1.1" 200 4
192.168.1.106 - - [14/Jun/2018:13:42:16 +0800] "GET /ssi/page/index.do HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:42:17 +0800] "POST /ssi/settings/settings/add.do HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:42:17 +0800] "POST /ssi/settings/settings/datagrid.do HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:42:20 +0800] "GET /ssi/settings/settings/settingsMake.do?ctype=auto&cid=d45aeae8-e27f-4ea9-b890-ed7618d90362 HTTP/1.1" 200 6891
192.168.1.106 - - [14/Jun/2018:13:42:20 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:42:20 +0800] "POST /ssi/settings/settingAuto/datagrid.do HTTP/1.1" 200 47
192.168.1.106 - - [14/Jun/2018:13:42:21 +0800] "GET /ssi/js/jquery-easyui-1.4.5/jquery.min.js HTTP/1.1" 200 95957
192.168.1.106 - - [14/Jun/2018:13:42:21 +0800] "GET /ssi/js/jquery-easyui-1.4.5/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2487
192.168.1.106 - - [14/Jun/2018:13:42:21 +0800] "GET /ssi/js/jquery-easyui-1.4.5/jquery.easyui.min.js HTTP/1.1" 200 389242
192.168.1.106 - - [14/Jun/2018:13:42:21 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 200 2756
192.168.1.144 - - [14/Jun/2018:13:42:21 +0800] "POST /ssi/page/login.do HTTP/1.1" 200 47
192.168.1.106 - - [14/Jun/2018:13:42:22 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 200 58597
192.168.1.106 - - [14/Jun/2018:13:42:22 +0800] "GET /ssi/js/jquery.cookie.js HTTP/1.1" 200 3121
192.168.1.106 - - [14/Jun/2018:13:42:22 +0800] "GET /ssi/css/common.css HTTP/1.1" 200 369
192.168.1.144 - - [14/Jun/2018:13:42:22 +0800] "GET /ssi/page/index.do HTTP/1.1" 200 1814
192.168.1.144 - - [14/Jun/2018:13:42:22 +0800] "GET /ssi/layout/north.do?_=1528954971763 HTTP/1.1" 200 2904
192.168.1.144 - - [14/Jun/2018:13:42:22 +0800] "GET /ssi/layout/west.do?_=1528954971764 HTTP/1.1" 200 1347
192.168.1.144 - - [14/Jun/2018:13:42:22 +0800] "GET /ssi/layout/center.do?_=1528954971765 HTTP/1.1" 200 2721
192.168.1.144 - - [14/Jun/2018:13:42:22 +0800] "GET /ssi/layout/south.do?_=1528954971766 HTTP/1.1" 200 117
192.168.1.144 - - [14/Jun/2018:13:42:22 +0800] "POST /ssi/admin/menu/notNeedAuth_menuTree.do HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:42:22 +0800] "GET /ssi/settings/settingAuto/settingAutoAdd.do?_=1528954886410 HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:42:22 +0800] "POST /ssi/question/type/notNeedAuth_combobox.do HTTP/1.1" 200 1743
192.168.1.144 - - [14/Jun/2018:13:42:24 +0800] "GET /ssi/score/score/notNeedAuth_score.do HTTP/1.1" 200 4868
192.168.1.144 - - [14/Jun/2018:13:42:24 +0800] "POST /ssi/score/score/notNeedAuth_datagrid.do HTTP/1.1" 200 700
192.168.1.106 - - [14/Jun/2018:13:42:28 +0800] "GET /ssi/page/index.do HTTP/1.1" 200 724
192.168.1.106 - - [14/Jun/2018:13:42:30 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.1.106 - - [14/Jun/2018:13:42:31 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3472
192.168.1.106 - - [14/Jun/2018:13:42:31 +0800] "GET /ssi/js/jquery-easyui-1.4.5/jquery.min.js HTTP/1.1" 200 95957
192.168.1.106 - - [14/Jun/2018:13:42:31 +0800] "GET /ssi/js/jquery.cookie.js HTTP/1.1" 200 3121
192.168.1.106 - - [14/Jun/2018:13:42:31 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 200 58597
192.168.1.106 - - [14/Jun/2018:13:42:31 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 200 2756
192.168.1.106 - - [14/Jun/2018:13:42:31 +0800] "GET /ssi/js/jquery-easyui-1.4.5/jquery.easyui.min.js HTTP/1.1" 200 389242
192.168.1.106 - - [14/Jun/2018:13:42:31 +0800] "GET /ssi/css/common.css HTTP/1.1" 200 369
192.168.1.106 - - [14/Jun/2018:13:42:31 +0800] "GET /ssi/js/jquery-easyui-1.4.5/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2487
192.168.1.106 - - [14/Jun/2018:13:42:31 +0800] "GET /ssi/js/util.js HTTP/1.1" 200 3993
192.168.1.106 - - [14/Jun/2018:13:42:32 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/reload.png HTTP/1.1" 200 1045
192.168.1.106 - - [14/Jun/2018:13:42:32 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/man.png HTTP/1.1" 200 244
192.168.1.106 - - [14/Jun/2018:13:42:32 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/lock.png HTTP/1.1" 200 311
192.168.1.106 - - [14/Jun/2018:13:42:32 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/blank.gif HTTP/1.1" 200 43
192.168.1.106 - - [14/Jun/2018:13:42:32 +0800] "GET /ssi/img/imgCode.do?random=0.6461036180799289 HTTP/1.1" 200 1523
192.168.1.144 - - [14/Jun/2018:13:42:33 +0800] "GET /ssi/score/scorePapers/notNeedAuth_scorePapers.do?querytestid=40825c10-dee8-4ba5-8b71-0e783d0495dc HTTP/1.1" 200 4459
192.168.1.144 - - [14/Jun/2018:13:42:33 +0800] "GET /ssi/score/scorePapers/notNeedAuth_data.do HTTP/1.1" 200 24169
192.168.1.106 - - [14/Jun/2018:13:42:34 +0800] "POST /ssi/img/loadImgCode.do HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:42:39 +0800] "POST /ssi/settings/settings/datagrid.do HTTP/1.1" 200 2330
192.168.1.106 - - [14/Jun/2018:13:42:42 +0800] "POST /ssi/page/login.do HTTP/1.1" 200 47
192.168.1.106 - - [14/Jun/2018:13:42:42 +0800] "GET /ssi/page/index.do HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:42:42 +0800] "GET /ssi/settings/settings/settingsEdit.do?_=1528954886411 HTTP/1.1" 200 1730
192.168.1.106 - - [14/Jun/2018:13:42:43 +0800] "GET /ssi/layout/north.do?_=1528954985517 HTTP/1.1" 200 2907
192.168.1.106 - - [14/Jun/2018:13:42:43 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/loading.gif HTTP/1.1" 200 1737
192.168.1.106 - - [14/Jun/2018:13:42:43 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/panel_tools.png HTTP/1.1" 200 852
192.168.1.106 - - [14/Jun/2018:13:42:43 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
192.168.1.106 - - [14/Jun/2018:13:42:43 +0800] "GET /ssi/layout/west.do?_=1528954985518 HTTP/1.1" 200 1347
192.168.1.106 - - [14/Jun/2018:13:42:43 +0800] "GET /ssi/layout/center.do?_=1528954985519 HTTP/1.1" 200 2721
192.168.1.106 - - [14/Jun/2018:13:42:43 +0800] "GET /ssi/layout/south.do?_=1528954985520 HTTP/1.1" 200 117
192.168.1.106 - - [14/Jun/2018:13:42:43 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/theme.png HTTP/1.1" 200 756
192.168.1.106 - - [14/Jun/2018:13:42:43 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/menu_arrows.png HTTP/1.1" 200 160
192.168.1.106 - - [14/Jun/2018:13:42:43 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/setting.png HTTP/1.1" 200 584
192.168.1.106 - - [14/Jun/2018:13:42:43 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/bullet_blue.png HTTP/1.1" 200 289
192.168.1.106 - - [14/Jun/2018:13:42:43 +0800] "POST /ssi/admin/menu/notNeedAuth_menuTree.do HTTP/1.1" 200 552
192.168.1.106 - - [14/Jun/2018:13:42:43 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/redo.png HTTP/1.1" 200 708
192.168.1.106 - - [14/Jun/2018:13:42:43 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/undo.png HTTP/1.1" 200 707
