127.0.0.1 - - [06/Jul/2018:11:23:35 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:23:58 +0800] "GET /ssi/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:01 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:03 +0800] "GET /ssi/js/util.js HTTP/1.1" 200 3993
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:07 +0800] "GET /ssi/img/imgCode.do?random=0.5448992855353828 HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:09 +0800] "POST /ssi/img/loadImgCode.do HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:16 +0800] "POST /ssi/page/login.do HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:17 +0800] "GET /ssi/page/index.do HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:17 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:17 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/panel_tools.png HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:17 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:17 +0800] "GET /ssi/layout/south.do?_=1530847457207 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:18 +0800] "GET /ssi/layout/center.do?_=1530847457206 HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:18 +0800] "GET /ssi/layout/west.do?_=1530847457205 HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:18 +0800] "GET /ssi/layout/north.do?_=1530847457204 HTTP/1.1" 200 2900
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:18 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:18 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:18 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/undo.png HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:18 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/redo.png HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:18 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/menu_arrows.png HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:18 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/theme.png HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:18 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/bullet_blue.png HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:18 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/setting.png HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:18 +0800] "POST /ssi/admin/menu/notNeedAuth_menuTree.do HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:18 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/mini_refresh.png HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:20 +0800] "GET /ssi/settings/test/test.do HTTP/1.1" 200 9768
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/combo_arrow.png HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:20 +0800] "POST /ssi/education/clazz/notNeedAuth_combobox.do HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/datebox_arrow.png HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/filesave.png HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/datagrid_icons.png HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/edit_remove.png HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/ok.png HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/no.png HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/print.png HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:20 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/pagination_icons.png HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:21 +0800] "POST /ssi/settings/test/datagrid.do HTTP/1.1" 200 5018
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:23 +0800] "GET /ssi/settings/papers/notNeedAuth_papers.do?testid=3b166df4-85d3-43cb-866a-e15a2a28e2ad&dotype=view HTTP/1.1" 200 8270
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:23 +0800] "GET /ssi/js/browser.js HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:23 +0800] "GET /ssi/js/jquery.jqprint-0.3.js HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [06/Jul/2018:11:24:23 +0800] "GET /ssi/settings/papers/notNeedAuth_data.do HTTP/1.1" 200 47276
