127.0.0.1 - - [25/Apr/2018:12:48:43 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:49:40 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/pencil.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:49:40 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:49:40 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/edit_remove.png HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:49:40 +0800] "POST /ssi/question/type/notNeedAuth_combobox.do HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:49:40 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/filesave.png HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:49:40 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/datagrid_icons.png HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:49:40 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/filter.png HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:49:40 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/pagination_icons.png HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:49:40 +0800] "POST /ssi/question/question/datagrid.do HTTP/1.1" 200 17458
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:49:48 +0800] "POST /ssi/question/question/datagrid.do HTTP/1.1" 200 17458
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:49:49 +0800] "POST /ssi/question/question/datagrid.do HTTP/1.1" 200 17458
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:49:54 +0800] "GET /ssi/question/type/type.do HTTP/1.1" 200 7292
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:49:55 +0800] "POST /ssi/question/type/datagrid.do HTTP/1.1" 200 2505
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:50:58 +0800] "GET /ssi/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:50:58 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:50:58 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 200 58597
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:50:58 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:50:58 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/reload.png HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:50:58 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/man.png HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:50:58 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/blank.gif HTTP/1.1" 200 43
