0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:16:44 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/black/images/pagination_icons.png HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:16:49 +0800] "GET /ssi/admin/user/notNeedAuth_userInfo.do?_=1514344407051 HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:16:58 +0800] "POST /ssi/page/logout.do HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:16:58 +0800] "GET /ssi/page/logout.do HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:17:00 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3599
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:17:00 +0800] "GET /ssi/img/imgCode.do?random=0.7772097006719938 HTTP/1.1" 200 1478
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:17:01 +0800] "POST /ssi/img/loadImgCode.do HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:17:15 +0800] "POST /ssi/page/login.do HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:17:15 +0800] "GET /ssi/page/index.do HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:17:16 +0800] "GET /ssi/layout/north.do?_=1514344635954 HTTP/1.1" 200 2900
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:17:16 +0800] "GET /ssi/layout/west.do?_=1514344635955 HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:17:16 +0800] "GET /ssi/layout/center.do?_=1514344635956 HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:17:16 +0800] "GET /ssi/layout/south.do?_=1514344635957 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:17:16 +0800] "POST /ssi/admin/menu/notNeedAuth_menuTree.do HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:17:19 +0800] "GET /ssi/settings/test/test.do HTTP/1.1" 200 9768
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:17:19 +0800] "POST /ssi/education/clazz/notNeedAuth_combobox.do HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:17:20 +0800] "POST /ssi/settings/test/datagrid.do HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:17:28 +0800] "POST /ssi/page/logout.do HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:17:28 +0800] "GET /ssi/page/logout.do HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:17:30 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3599
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:17:30 +0800] "GET /ssi/img/imgCode.do?random=0.09161945398635096 HTTP/1.1" 200 1636
