127.0.0.1 - - [21/Apr/2018:13:32:25 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [21/Apr/2018:13:32:29 +0800] "GET /wsx/ HTTP/1.1" 200 4806
0:0:0:0:0:0:0:1 - - [21/Apr/2018:13:32:29 +0800] "GET /wsx/jslib/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 200 58597
0:0:0:0:0:0:0:1 - - [21/Apr/2018:13:32:29 +0800] "GET /wsx/jslib/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [21/Apr/2018:13:32:29 +0800] "GET /wsx/style/common.css HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [21/Apr/2018:13:32:29 +0800] "GET /wsx/style/images/logo.png HTTP/1.1" 200 7241
0:0:0:0:0:0:0:1 - - [21/Apr/2018:13:32:30 +0800] "GET /wsx/jslib/jquery-easyui-1.4.5/themes/icons/man.png HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [21/Apr/2018:13:32:30 +0800] "GET /wsx/jslib/jquery-easyui-1.4.5/themes/icons/lock.png HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [21/Apr/2018:13:32:30 +0800] "GET /wsx/jslib/jquery-easyui-1.4.5/themes/default/images/loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [21/Apr/2018:13:32:30 +0800] "GET /wsx/jslib/jquery-easyui-1.4.5/themes/default/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [21/Apr/2018:13:32:30 +0800] "GET /wsx/jslib/jquery-easyui-1.4.5/themes/default/images/panel_tools.png HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [21/Apr/2018:13:32:30 +0800] "GET /wsx/jslib/jquery-easyui-1.4.5/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [21/Apr/2018:13:32:30 +0800] "GET /wsx/style/images/bg2.jpg HTTP/1.1" 200 95304
0:0:0:0:0:0:0:1 - - [21/Apr/2018:13:32:31 +0800] "GET /wsx/layout/west.jsp?_=1524288749767 HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [21/Apr/2018:13:32:31 +0800] "GET /wsx/layout/center.jsp?_=1524288749768 HTTP/1.1" 200 3037
0:0:0:0:0:0:0:1 - - [21/Apr/2018:13:32:31 +0800] "GET /wsx/layout/south.jsp?_=1524288749769 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [21/Apr/2018:13:32:31 +0800] "GET /wsx/layout/north.jsp?_=1524288749766 HTTP/1.1" 200 2820
0:0:0:0:0:0:0:1 - - [21/Apr/2018:13:32:31 +0800] "GET /wsx/jslib/jquery-easyui-1.4.5/themes/icons/reload.png HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [21/Apr/2018:13:32:31 +0800] "GET /wsx/jslib/jquery-easyui-1.4.5/themes/icons/redo.png HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [21/Apr/2018:13:32:31 +0800] "GET /wsx/jslib/jquery-easyui-1.4.5/themes/icons/undo.png HTTP/1.1" 200 707
