127.0.0.1 - - [23/Mar/2018:15:21:44 +0800] "GET / HTTP/1.1" 200 11452
192.168.1.60 - - [23/Mar/2018:15:21:48 +0800] "GET /ssi HTTP/1.1" 302 -
192.168.1.60 - - [23/Mar/2018:15:21:48 +0800] "GET /ssi/ HTTP/1.1" 302 -
192.168.1.60 - - [23/Mar/2018:15:21:48 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3472
192.168.1.60 - - [23/Mar/2018:15:21:48 +0800] "GET /ssi/css/common.css HTTP/1.1" 200 369
192.168.1.60 - - [23/Mar/2018:15:21:48 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 200 58597
192.168.1.60 - - [23/Mar/2018:15:21:48 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 200 2756
192.168.1.60 - - [23/Mar/2018:15:21:48 +0800] "GET /ssi/js/jquery-easyui-1.4.5/jquery.min.js HTTP/1.1" 304 -
192.168.1.60 - - [23/Mar/2018:15:21:48 +0800] "GET /ssi/js/jquery.cookie.js HTTP/1.1" 304 -
192.168.1.60 - - [23/Mar/2018:15:21:48 +0800] "GET /ssi/js/jquery-easyui-1.4.5/jquery.easyui.min.js HTTP/1.1" 304 -
192.168.1.60 - - [23/Mar/2018:15:21:48 +0800] "GET /ssi/js/jquery-easyui-1.4.5/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
192.168.1.60 - - [23/Mar/2018:15:21:48 +0800] "GET /ssi/js/util.js HTTP/1.1" 304 -
192.168.1.60 - - [23/Mar/2018:15:21:48 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/man.png HTTP/1.1" 200 244
192.168.1.60 - - [23/Mar/2018:15:21:49 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/reload.png HTTP/1.1" 200 1045
192.168.1.60 - - [23/Mar/2018:15:21:49 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/lock.png HTTP/1.1" 200 311
192.168.1.60 - - [23/Mar/2018:15:21:49 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/blank.gif HTTP/1.1" 200 43
192.168.1.60 - - [23/Mar/2018:15:21:50 +0800] "GET /ssi/img/imgCode.do?random=0.13921611215132446 HTTP/1.1" 200 1605
192.168.1.60 - - [23/Mar/2018:15:21:50 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.1.60 - - [23/Mar/2018:15:21:51 +0800] "POST /ssi/img/loadImgCode.do HTTP/1.1" 200 4
192.168.1.60 - - [23/Mar/2018:15:21:59 +0800] "POST /ssi/page/login.do HTTP/1.1" 200 47
192.168.1.60 - - [23/Mar/2018:15:21:59 +0800] "GET /ssi/page/index.do HTTP/1.1" 200 1814
192.168.1.60 - - [23/Mar/2018:15:21:59 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
192.168.1.60 - - [23/Mar/2018:15:21:59 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/panel_tools.png HTTP/1.1" 200 852
192.168.1.60 - - [23/Mar/2018:15:21:59 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/loading.gif HTTP/1.1" 500 -
192.168.1.60 - - [23/Mar/2018:15:21:59 +0800] "GET /ssi/layout/south.do?_=1521789717207 HTTP/1.1" 200 117
192.168.1.60 - - [23/Mar/2018:15:21:59 +0800] "GET /ssi/layout/north.do?_=1521789717204 HTTP/1.1" 200 2906
192.168.1.60 - - [23/Mar/2018:15:21:59 +0800] "GET /ssi/layout/west.do?_=1521789717205 HTTP/1.1" 200 1347
192.168.1.60 - - [23/Mar/2018:15:21:59 +0800] "GET /ssi/layout/center.do?_=1521789717206 HTTP/1.1" 200 2721
192.168.1.60 - - [23/Mar/2018:15:21:59 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/menu_arrows.png HTTP/1.1" 200 160
192.168.1.60 - - [23/Mar/2018:15:21:59 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/bullet_blue.png HTTP/1.1" 200 289
192.168.1.60 - - [23/Mar/2018:15:21:59 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/theme.png HTTP/1.1" 200 756
192.168.1.60 - - [23/Mar/2018:15:21:59 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/setting.png HTTP/1.1" 200 584
192.168.1.60 - - [23/Mar/2018:15:21:59 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/undo.png HTTP/1.1" 200 707
192.168.1.60 - - [23/Mar/2018:15:21:59 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/redo.png HTTP/1.1" 200 708
192.168.1.60 - - [23/Mar/2018:15:21:59 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
192.168.1.60 - - [23/Mar/2018:15:21:59 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
192.168.1.60 - - [23/Mar/2018:15:21:59 +0800] "POST /ssi/admin/menu/notNeedAuth_menuTree.do HTTP/1.1" 200 3270
192.168.1.60 - - [23/Mar/2018:15:22:00 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
192.168.1.60 - - [23/Mar/2018:15:22:03 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/mini_refresh.png HTTP/1.1" 200 160
192.168.1.60 - - [23/Mar/2018:15:22:03 +0800] "GET /ssi/settings/settings/settings.do HTTP/1.1" 200 9006
