127.0.0.1 - - [28/Mar/2018:09:26:11 +0800] "GET / HTTP/1.1" 200 11452
192.168.1.80 - - [28/Mar/2018:09:52:30 +0800] "GET /ssi HTTP/1.1" 302 -
192.168.1.80 - - [28/Mar/2018:09:52:30 +0800] "GET /ssi/ HTTP/1.1" 302 -
192.168.1.80 - - [28/Mar/2018:09:52:30 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3472
192.168.1.80 - - [28/Mar/2018:09:52:30 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/reload.png HTTP/1.1" 200 1045
192.168.1.80 - - [28/Mar/2018:09:52:30 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/man.png HTTP/1.1" 200 244
192.168.1.80 - - [28/Mar/2018:09:52:30 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/lock.png HTTP/1.1" 200 311
192.168.1.80 - - [28/Mar/2018:09:52:30 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/blank.gif HTTP/1.1" 200 43
192.168.1.80 - - [28/Mar/2018:09:52:31 +0800] "GET /ssi/img/imgCode.do?random=0.07671381502931451 HTTP/1.1" 200 1568
192.168.1.80 - - [28/Mar/2018:09:52:31 +0800] "GET /favicon.ico HTTP/1.1" 304 -
192.168.1.80 - - [28/Mar/2018:09:52:32 +0800] "POST /ssi/img/loadImgCode.do HTTP/1.1" 200 4
192.168.1.80 - - [28/Mar/2018:09:52:42 +0800] "POST /ssi/page/login.do HTTP/1.1" 200 47
192.168.1.80 - - [28/Mar/2018:09:52:42 +0800] "GET /ssi/page/index.do HTTP/1.1" 200 1814
192.168.1.80 - - [28/Mar/2018:09:52:42 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/loading.gif HTTP/1.1" 200 1737
192.168.1.80 - - [28/Mar/2018:09:52:42 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
