127.0.0.1 - - [23/Apr/2019:15:59:47 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:50 +0800] "GET /fit/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:51 +0800] "GET /fit/page/login.do HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:51 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 200 58597
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:51 +0800] "GET /fit/css/bootstrap.min.css HTTP/1.1" 200 124962
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:51 +0800] "GET /fit/css/common.css HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:51 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 200 2756
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:51 +0800] "GET /fit/js/jquery-easyui-1.4.5/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:51 +0800] "GET /fit/js/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:51 +0800] "GET /fit/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:51 +0800] "GET /fit/css/style.default.css HTTP/1.1" 200 20829
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:51 +0800] "GET /fit/css/font-icon-style.css HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:51 +0800] "GET /fit/css/login.css HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:51 +0800] "GET /fit/js/jquery-easyui-1.4.5/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:51 +0800] "GET /fit/js/jquery-easyui-1.4.5/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:51 +0800] "GET /fit/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:51 +0800] "GET /fit/img/backgroud.jpg HTTP/1.1" 200 255368
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:52 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:53 +0800] "POST /fit/page/login.do HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:53 +0800] "GET /fit/page/index.do HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:53 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:53 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:53 +0800] "GET /fit/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:53 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/default/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:53 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:53 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/default/images/panel_tools.png HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:53 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/default/images/loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:54 +0800] "GET /fit/layout/west.do?_=1556006393919 HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:54 +0800] "GET /fit/layout/south.do?_=1556006393921 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:54 +0800] "POST /fit/admin/menu/notNeedAuth_menuTree.do HTTP/1.1" 200 3266
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:54 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:54 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/icons/redo.png HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:54 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/icons/undo.png HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:54 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/icons/reload.png HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:54 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:54 +0800] "GET /fit/layout/north.do?_=1556006393918 HTTP/1.1" 200 2213
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:54 +0800] "GET /fit/layout/center.do?_=1556006393920 HTTP/1.1" 200 2485
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:54 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/icons/man.png HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:54 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/default/images/menu_arrows.png HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:54 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/icons/setting.png HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:54 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/icons/lock.png HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:54 +0800] "GET /fit/img/logo.png HTTP/1.1" 200 7241
0:0:0:0:0:0:0:1 - - [23/Apr/2019:15:59:54 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [23/Apr/2019:16:00:07 +0800] "GET /fit/page/index.do HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [23/Apr/2019:16:00:07 +0800] "GET /fit/js/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:16:00:07 +0800] "GET /fit/js/jquery-easyui-1.4.5/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:16:00:07 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:16:00:07 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:16:00:07 +0800] "GET /fit/js/jquery-easyui-1.4.5/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:16:00:07 +0800] "GET /fit/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:16:00:07 +0800] "GET /fit/js/jquery-easyui-1.4.5/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:16:00:07 +0800] "GET /fit/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:16:00:07 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/default/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:16:00:07 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/default/images/blank.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:16:00:07 +0800] "GET /fit/layout/north.do?_=1556006407935 HTTP/1.1" 200 2213
0:0:0:0:0:0:0:1 - - [23/Apr/2019:16:00:07 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/default/images/panel_tools.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:16:00:07 +0800] "GET /fit/js/jquery-easyui-1.4.5/themes/default/images/layout_arrows.png HTTP/1.1" 304 -
