127.0.0.1 - - [30/Mar/2018:09:00:21 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:36 +0800] "GET /ssi/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:37 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:37 +0800] "GET /ssi/css/common.css HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:37 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 200 58597
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:37 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 200 2756
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:37 +0800] "GET /ssi/js/jquery-easyui-1.4.5/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:37 +0800] "GET /ssi/js/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:37 +0800] "GET /ssi/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:37 +0800] "GET /ssi/js/jquery-easyui-1.4.5/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:37 +0800] "GET /ssi/js/jquery-easyui-1.4.5/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:38 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/man.png HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:38 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/reload.png HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:38 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/lock.png HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:38 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:41 +0800] "GET /ssi/img/imgCode.do?random=0.10865956743916283 HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:42 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:42 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:43 +0800] "POST /ssi/img/loadImgCode.do HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:52 +0800] "POST /ssi/page/login.do HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:52 +0800] "GET /ssi/page/index.do HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:52 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:52 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:09:00:52 +0800] "GET /ssi/css/common.css HTTP/1.1" 304 -
