0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:45 +0800] "GET /mvc/images/default/headerbg.png HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:45 +0800] "GET /mvc/images/default/menuarrow.png HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:45 +0800] "GET /mvc/images/icons/flatscreen.white.png HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:45 +0800] "GET /mvc/images/default/noise.white.png HTTP/1.1" 200 7924
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:46 +0800] "GET /mvc/fonts/Roboto-BoldCondensed-webfont.woff HTTP/1.1" 200 21440
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:46 +0800] "GET /mvc/images/default/arrow-active.png HTTP/1.1" 200 21122
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:46 +0800] "GET /mvc/images/icons/message.white.png HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:46 +0800] "GET /mvc/images/icons/chart.white.png HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:46 +0800] "GET /mvc/images/menucollapsed.png HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:47 +0800] "GET /mvc/images/default/icons_sprite2.png HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:47 +0800] "GET /mvc/images/line.dashed.png HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:49 +0800] "GET /mvc/user/user.action HTTP/1.1" 200 9379
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:49 +0800] "GET /mvc/js/plugins/jquery.dataTables.min.js HTTP/1.1" 200 70883
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:49 +0800] "GET /mvc/js/custom/tables.js HTTP/1.1" 200 4662
